country,updated_country,Country Code (ISO 3166-1 alpha-3),Year,gold,silver,bronze,total,medal_sum,check,GDP,HDI,LE,EYS,MYS,GNIPC,MMR,PHDI,CO2_PROD,BMI_underweight,BMI_obesity,BMI_morbid_obesity,Mean_Height,Diabetes_in_18+,Diabetes_treated_in_30+,non-HDL_cholesterol,HDL_cholesterol,Raised_blood_pressure,Hypertension,cluster
Afghanistan,Afghanistan,AFG,2000,0,0,0,0,0,True,594.6301073676391,0.3305,53.6665,5.126431135,1.17627083575,1289.1740295,1389.82407275,0.3275,0.0698025204999999,0.2151761282418721,0.0378694672068048,0.0026051154757073,159.84242010333335,0.1245772392626691,0.2272799947614112,3.129566503672693,1.128192989262006,0.2858264502967703,0.3609071145524921,1
Afghanistan,Afghanistan,AFG,2004,0,0,0,0,0,True,446.6135035140239,0.35775,56.2235,6.2944157305,1.34129987825,1214.5335248,1273.24352525,0.35475,0.0601518474999999,0.1795641914464213,0.0536264112551437,0.0036230681752241,160.10129767083333,0.1395174040230252,0.2300196250941105,3.1403792138794397,1.1201089745126975,0.2944443652437597,0.3679083397265271,1
Afghanistan,Afghanistan,AFG,2008,0,0,1,1,1,True,505.7081399012312,0.40825,58.525,7.986829901,1.563972044,1608.67166275,1071.39819675,0.40525,0.0807222324999999,0.1486251839633796,0.0722270813810043,0.0048711509042765,160.345587075,0.156097203445547,0.231909690830842,3.1392144111390987,1.1105998105703514,0.2996826924189358,0.3757135251716614,1
Afghanistan,Afghanistan,AFG,2012,0,0,1,1,1,True,690.2844439735997,0.4445,60.6215,9.04331491025,1.84662817025,1964.609019,914.4351164,0.441,0.273967071,0.1195326301212158,0.0956730115300188,0.0065106379385973,160.54795412916667,0.1750563522310559,0.2331892374629397,3.127356221674914,1.098825109724155,0.302909350319182,0.3836753980421418,1
Algeria,Algeria,DZA,2000,1,1,3,5,5,True,2312.433986480826,0.63075,69.35075,10.5535750375,6.150535113,8086.780317000001,186.70356145,0.6054999999999999,3.2557926795,0.0747114513685318,0.1312819255775762,0.0061700892184879,164.56866322666667,0.1205375593885474,0.3843861481651774,3.656586741740169,1.040694844963729,0.3031672984778572,0.3750776911248343,1
Algeria,Algeria,DZA,2004,0,0,0,0,0,True,1947.6162884344824,0.6635,70.9545,11.67237997,6.7389658865,8940.65655775,154.54611795,0.63725,2.8441135055,0.0668703864618067,0.1511912797050576,0.0082006697244569,165.03130437083334,0.1298321339676158,0.4095743967552533,3.631092407897768,1.05647819199618,0.2922105289462378,0.3780411797107368,0
Algeria,Algeria,DZA,2008,0,1,1,2,2,True,2389.00468919625,0.6925,72.18975,12.7489225875,7.149617503000001,10174.62368125,134.97891099999998,0.66,3.14742950475,0.0597825330379455,0.1692270528358381,0.0105206040570924,165.43925548750002,0.1388470714889626,0.4334525186553453,3.564899624932084,1.0719861289995938,0.2802265579822464,0.3763475235452344,0
Algeria,Algeria,DZA,2012,1,0,0,1,1,True,2524.2808782255947,0.71775,73.623,14.0047912575,7.3365421295,10847.073175,112.0694773,0.677,3.3285878070000003,0.0535000012945023,0.1878640383541571,0.0132480120726948,166.0313895125,0.1511403477959564,0.4550721957036283,3.487080738574803,1.0922689496536837,0.2665909529020357,0.3732626308296961,0
Argentina,Argentina,ARG,2000,0,17,3,20,20,True,13221.321004614058,0.762,73.39824999999999,14.2164136775,8.631121397,18595.8715,70.063270085,0.7034999999999999,3.84566409375,0.0236302159640344,0.1769874645305857,0.0124471554064121,166.06641533333334,0.0745127061808656,0.4332506739792442,3.831817131179143,1.161919349461834,0.2961535437836752,0.3949721109644281,0
Argentina,Argentina,ARG,2004,28,0,21,49,49,True,8095.551170223741,0.7857500000000001,74.15,16.163062335,9.24326717875,16440.7130675,73.307354365,0.73275,3.55580033625,0.0201376997821716,0.2049913188521122,0.0159222111621879,166.3566767041667,0.0810627573609494,0.4638426059658964,3.775097160401734,1.1864050777428587,0.2752333802784383,0.4118274563320758,0
Argentina,Argentina,ARG,2008,20,0,31,51,51,True,4623.866087557607,0.80775,75.10825,16.1700577725,10.14887488,18743.87267,65.0032586925,0.7469999999999999,4.23544317675,0.0180618200203754,0.2307725473565417,0.0196088050239861,166.52734794166668,0.086206826320586,0.4873602298304694,3.710165945300856,1.19275360753364,0.2573344338752288,0.4290458600825902,0
Argentina,Argentina,ARG,2012,1,17,3,21,21,True,4323.908151544209,0.832,75.8555,16.8460845925,10.5622498975,22475.7802825,55.338899625,0.7665,4.5293393787500005,0.0166919996056808,0.2594196537165404,0.0243327301478059,166.75527055416666,0.0913944395539159,0.5064459775736012,3.6247172106648176,1.1837005025363676,0.2417640962374403,0.4452660594464996,0
Armenia,Armenia,ARM,2000,0,0,1,1,1,True,1000.7280063665056,0.64,70.116,10.40687728,10.310634695,3513.12024375,56.3044178,0.626,0.93890073025,0.0308241322517639,0.1442286051185896,0.0108649974432693,164.81825227333334,0.0831878130079211,0.2014195326196107,3.3047139846024196,1.101701191350987,0.2833344178089493,0.4313608886328303,0
Armenia,Armenia,ARM,2004,0,0,0,0,0,True,1164.2875616568151,0.667,71.0025,10.5911252525,10.54168012,4894.0096945000005,47.5987322025,0.64275,1.0851982085,0.027285400274025,0.1613565220948603,0.0135122417523684,165.17889025416667,0.0896295658983322,0.2124530459894712,3.2495117627630714,1.120225191417476,0.2721134155966402,0.4414122565382035,0
Armenia,Armenia,ARM,2008,0,0,6,6,6,True,2592.6340037717946,0.7085,71.88175000000001,11.19323969,10.80606842,8222.1437935,38.7902518725,0.68125,1.4480178075,0.0256039595670701,0.1779698665108389,0.0163552684056543,165.40039076666665,0.0938691988380345,0.225857349600358,3.2224311589116637,1.1335016939762124,0.2648902578739802,0.452271732169148,0
Armenia,Armenia,ARM,2012,0,1,2,3,3,True,3698.283103044421,0.7367499999999999,72.91900000000001,12.2275898475,11.08860016,9859.830909,32.9017180625,0.704,1.6201037187500005,0.025243393361432,0.1953675502658495,0.0196466172554475,165.57987884583332,0.0972991804915669,0.2429437726353728,3.2137579376436363,1.1420139128294262,0.2586668060592772,0.4619227746080907,0
Australia,Australia,AUS,2000,60,69,54,183,183,True,46982.974712101146,0.889,78.8235,20.2160231275,11.31291786,35127.246545,7.578640475999999,0.67825,17.696409315,0.0160885635402147,0.1865601635901038,0.0150772174271939,170.91458783666667,0.0422910898995206,0.5010854670584638,3.945613173489206,1.34727250207335,0.237144729340255,0.3136554438652206,0
Australia,Australia,AUS,2004,49,77,30,156,156,True,41685.18709955076,0.901,80.0415,21.0266370775,11.37206382,38718.4947925,5.93725067325,0.679,18.590253875,0.0147951149090865,0.2167354487693192,0.0203131853261102,171.11207470416667,0.0463953358141753,0.5361650094840609,3.7729564304368712,1.3706515138168238,0.2134062552632684,0.3013019510035486,0
Australia,Australia,AUS,2008,31,42,76,149,149,True,60040.731800369525,0.91225,81.1015,21.6847240675,11.604099985,41607.112915000005,4.84647917525,0.6637500000000001,19.1805985975,0.0142413861770158,0.2396387892569152,0.024979409862819,171.20952802916668,0.051657978397738,0.5662800522804546,3.618691417877286,1.3891074253280835,0.1922305489031322,0.2963543395562911,0
Australia,Australia,AUS,2012,18,37,59,114,114,True,73302.9836465056,0.92325,81.85350000000001,22.342811055,12.01874733,43409.6047225,5.4149911385000005,0.68,18.5838861675,0.014115381106707,0.2580832978404374,0.0291136680129988,171.24140899583332,0.0575873085831305,0.5928228284063892,3.4754426981971425,1.4081042805651152,0.1722088318094753,0.2946818895142528,0
Austria,Austria,AUT,2000,3,1,0,4,4,True,36997.22036966858,0.8585,77.54875000000001,15.0523908925,10.8791948725,42721.3060175,6.1080046125,0.7254999999999999,8.380362737750001,0.0300978151693363,0.1175221740074458,0.0059344861201313,171.63752869666666,0.0471015192285609,0.3876339001999455,4.175673069043363,1.481977875989805,0.290860486259212,0.424599137011825,0
Austria,Austria,AUT,2004,3,4,1,8,8,True,34344.939214444625,0.8755,78.66299999999998,15.3454305325,11.24167776,46732.4928375,6.2156776825,0.7415,8.857475499,0.0276432461962962,0.1302959030892298,0.0075151539987556,171.82454572916666,0.0498275901952957,0.431820789934802,4.009488070069169,1.49322505803494,0.2709671218093915,0.4163178941669282,0
Austria,Austria,AUT,2008,0,1,2,3,3,True,48165.48348492446,0.891,79.75425000000001,15.6454882625,11.5258485775,50328.72511,5.65981623125,0.7444999999999999,9.33748748125,0.0255932413888903,0.1393378587702634,0.0088634780291033,171.86528737083333,0.0509468562704921,0.4726738354656379,3.8800383200627313,1.49557687217076,0.2505805829489174,0.4051065938254606,0
Austria,Austria,AUT,2012,0,0,0,0,0,True,54620.78039915331,0.90175,80.466,16.007622245,11.642124889999998,52563.1660025,5.87548372725,0.7645,8.46094791525,0.0239450670157095,0.1444085773066367,0.0099536590804071,171.9044616875,0.0507032417666309,0.5138138831250021,3.781833937313601,1.4941275272565262,0.2304224356123898,0.3880014289258266,0
